track_id,artist_id,genre,track_name
T6607,A1,Pop,Track T6607
T7972,A2,Pop,Track T7972
T8316,A7,R&B,Track T8316
T3742,A6,Rap,Track T3742
T3308,A5,R&B,Track T3308
T6784,A2,Pop,Track T6784
T5975,A3,Latin,Track T5975
T6323,A10,Pop,Track T6323
T8519,A2,Pop,Track T8519
T6790,A9,Alternative,Track T6790
T3364,A5,R&B,Track T3364
T1417,A1,Pop,Track T1417
T1157,A4,Hip-Hop,Track T1157
T6365,A10,Pop,Track T6365
T1593,A4,Hip-Hop,Track T1593
T8882,A9,Alternative,Track T8882
T5561,A3,Latin,Track T5561
T9640,A5,R&B,Track T9640
T9097,A8,Pop,Track T9097
T1705,A9,Alternative,Track T1705
T5484,A5,R&B,Track T5484
T9326,A6,Rap,Track T9326
T7485,A1,Pop,Track T7485
T6596,A2,Pop,Track T6596
T7574,A3,Latin,Track T7574
T2243,A1,Pop,Track T2243
T8031,A3,Latin,Track T8031
T6107,A3,Latin,Track T6107
T8168,A10,Pop,Track T8168
T1093,A6,Rap,Track T1093
T1050,A4,Hip-Hop,Track T1050
T8943,A10,Pop,Track T8943
T3093,A2,Pop,Track T3093
T1227,A4,Hip-Hop,Track T1227
T1899,A6,Rap,Track T1899
T9279,A1,Pop,Track T9279
T1328,A7,R&B,Track T1328
T6856,A1,Pop,Track T6856
T1572,A2,Pop,Track T1572
T6852,A2,Pop,Track T6852
T9248,A9,Alternative,Track T9248
T3686,A7,R&B,Track T3686
T8231,A6,Rap,Track T8231
T4171,A5,R&B,Track T4171
T7505,A3,Latin,Track T7505
T7190,A6,Rap,Track T7190
T9008,A4,Hip-Hop,Track T9008
T8394,A2,Pop,Track T8394
T5543,A7,R&B,Track T5543
T6155,A1,Pop,Track T6155
T4694,A2,Pop,Track T4694
T4045,A8,Pop,Track T4045
T4950,A6,Rap,Track T4950
T3279,A6,Rap,Track T3279
T2672,A4,Hip-Hop,Track T2672
T7037,A4,Hip-Hop,Track T7037
T2277,A7,R&B,Track T2277
T3269,A7,R&B,Track T3269
T5202,A5,R&B,Track T5202
T2788,A10,Pop,Track T2788
T8063,A10,Pop,Track T8063
T1091,A4,Hip-Hop,Track T1091
T6647,A8,Pop,Track T6647
T8067,A5,R&B,Track T8067
T1899,A5,R&B,Track T1899
T7996,A1,Pop,Track T7996
T5756,A5,R&B,Track T5756
T9068,A9,Alternative,Track T9068
T8222,A8,Pop,Track T8222
T7923,A8,Pop,Track T7923
T8923,A2,Pop,Track T8923
T8367,A3,Latin,Track T8367
T6470,A2,Pop,Track T6470
T6772,A3,Latin,Track T6772
T3104,A5,R&B,Track T3104
T3428,A3,Latin,Track T3428
T9285,A5,R&B,Track T9285
T3501,A4,Hip-Hop,Track T3501
T3759,A3,Latin,Track T3759
T8950,A1,Pop,Track T8950
T7779,A9,Alternative,Track T7779
T9286,A1,Pop,Track T9286
T3957,A1,Pop,Track T3957
T8752,A8,Pop,Track T8752
T2042,A10,Pop,Track T2042
T2711,A7,R&B,Track T2711
T5045,A1,Pop,Track T5045
T5152,A2,Pop,Track T5152
T8970,A10,Pop,Track T8970
T5578,A8,Pop,Track T5578
T5372,A5,R&B,Track T5372
T6570,A2,Pop,Track T6570
T7096,A1,Pop,Track T7096
T3875,A1,Pop,Track T3875
T7426,A6,Rap,Track T7426
T2647,A1,Pop,Track T2647
T7046,A10,Pop,Track T7046
T8969,A2,Pop,Track T8969
T1300,A7,R&B,Track T1300
T5559,A2,Pop,Track T5559
T8811,A5,R&B,Track T8811
T4202,A1,Pop,Track T4202
T4360,A7,R&B,Track T4360
T3311,A6,Rap,Track T3311
T5286,A1,Pop,Track T5286
T8309,A8,Pop,Track T8309
T8853,A5,R&B,Track T8853
T3782,A9,Alternative,Track T3782
T4579,A9,Alternative,Track T4579
T5352,A9,Alternative,Track T5352
T4915,A1,Pop,Track T4915
T1973,A1,Pop,Track T1973
T7469,A10,Pop,Track T7469
T1955,A5,R&B,Track T1955
T2181,A2,Pop,Track T2181
T6881,A8,Pop,Track T6881
T8184,A3,Latin,Track T8184
T9118,A7,R&B,Track T9118
T2612,A8,Pop,Track T2612
T1677,A8,Pop,Track T1677
T2487,A3,Latin,Track T2487
T8727,A4,Hip-Hop,Track T8727
T2848,A4,Hip-Hop,Track T2848
T1523,A5,R&B,Track T1523
T7080,A2,Pop,Track T7080
T4346,A4,Hip-Hop,Track T4346
T1047,A5,R&B,Track T1047
T3587,A5,R&B,Track T3587
T5171,A8,Pop,Track T5171
T7302,A5,R&B,Track T7302
T1109,A2,Pop,Track T1109
T5272,A6,Rap,Track T5272
T2735,A8,Pop,Track T2735
T9714,A3,Latin,Track T9714
T8419,A6,Rap,Track T8419
T2877,A2,Pop,Track T2877
T8443,A3,Latin,Track T8443
T8826,A9,Alternative,Track T8826
T1001,A9,Alternative,Track T1001
T7640,A5,R&B,Track T7640
T1492,A7,R&B,Track T1492
T7170,A9,Alternative,Track T7170
T4703,A10,Pop,Track T4703
T2432,A5,R&B,Track T2432
T2325,A5,R&B,Track T2325
T8176,A4,Hip-Hop,Track T8176
T2017,A1,Pop,Track T2017
T6342,A4,Hip-Hop,Track T6342
T9168,A8,Pop,Track T9168
T7896,A8,Pop,Track T7896
T5619,A9,Alternative,Track T5619
T5028,A1,Pop,Track T5028
T1921,A5,R&B,Track T1921
T9200,A1,Pop,Track T9200
T7929,A2,Pop,Track T7929
T6354,A9,Alternative,Track T6354
T2787,A5,R&B,Track T2787
T1107,A7,R&B,Track T1107
T7413,A1,Pop,Track T7413
T6018,A4,Hip-Hop,Track T6018
T1085,A6,Rap,Track T1085
T8075,A1,Pop,Track T8075
T7160,A3,Latin,Track T7160
T5875,A1,Pop,Track T5875
T3885,A6,Rap,Track T3885
T4455,A10,Pop,Track T4455
T4157,A8,Pop,Track T4157
T2663,A10,Pop,Track T2663
T4839,A8,Pop,Track T4839
T5546,A9,Alternative,Track T5546
T9455,A5,R&B,Track T9455
T2637,A5,R&B,Track T2637
T6876,A4,Hip-Hop,Track T6876
T5385,A8,Pop,Track T5385
T1832,A2,Pop,Track T1832
T7404,A1,Pop,Track T7404
T5172,A10,Pop,Track T5172
T5761,A1,Pop,Track T5761
T4629,A10,Pop,Track T4629
T2577,A7,R&B,Track T2577
T8914,A3,Latin,Track T8914
T9997,A7,R&B,Track T9997
T5507,A8,Pop,Track T5507
T9777,A2,Pop,Track T9777
T8278,A8,Pop,Track T8278
T7795,A8,Pop,Track T7795
T4793,A2,Pop,Track T4793
T3148,A1,Pop,Track T3148
T5186,A2,Pop,Track T5186
T4883,A2,Pop,Track T4883
T1464,A1,Pop,Track T1464
T1705,A7,R&B,Track T1705
T6824,A4,Hip-Hop,Track T6824
T9233,A9,Alternative,Track T9233
T1556,A2,Pop,Track T1556
T5561,A4,Hip-Hop,Track T5561
T6719,A6,Rap,Track T6719
T5832,A9,Alternative,Track T5832
T7122,A5,R&B,Track T7122
T2719,A4,Hip-Hop,Track T2719
T6049,A9,Alternative,Track T6049
T7691,A3,Latin,Track T7691
T7238,A1,Pop,Track T7238
T1083,A4,Hip-Hop,Track T1083
T4429,A8,Pop,Track T4429
T8067,A1,Pop,Track T8067
T8626,A6,Rap,Track T8626
T7746,A6,Rap,Track T7746
T4911,A9,Alternative,Track T4911
T4156,A3,Latin,Track T4156
T3357,A3,Latin,Track T3357
T5772,A4,Hip-Hop,Track T5772
T1563,A3,Latin,Track T1563
T6190,A7,R&B,Track T6190
T1053,A6,Rap,Track T1053
T8969,A7,R&B,Track T8969
T5930,A8,Pop,Track T5930
T6421,A9,Alternative,Track T6421
T5228,A4,Hip-Hop,Track T5228
T2874,A10,Pop,Track T2874
T6353,A2,Pop,Track T6353
T3945,A7,R&B,Track T3945
T3757,A5,R&B,Track T3757
T9446,A8,Pop,Track T9446
T9294,A5,R&B,Track T9294
T6581,A8,Pop,Track T6581
T1275,A9,Alternative,Track T1275
T5608,A7,R&B,Track T5608
T5454,A8,Pop,Track T5454
T1947,A1,Pop,Track T1947
T3164,A2,Pop,Track T3164
T8581,A10,Pop,Track T8581
T3355,A7,R&B,Track T3355
T2034,A5,R&B,Track T2034
T6999,A3,Latin,Track T6999
T8588,A1,Pop,Track T8588
T4003,A3,Latin,Track T4003
T1596,A5,R&B,Track T1596
T4736,A2,Pop,Track T4736
T8555,A2,Pop,Track T8555
T7038,A5,R&B,Track T7038
T9837,A6,Rap,Track T9837
T4391,A2,Pop,Track T4391
T9407,A6,Rap,Track T9407
T7713,A9,Alternative,Track T7713
T8271,A4,Hip-Hop,Track T8271
T5464,A9,Alternative,Track T5464
T8712,A9,Alternative,Track T8712
T8129,A1,Pop,Track T8129
T6784,A1,Pop,Track T6784
T9611,A4,Hip-Hop,Track T9611
T4939,A6,Rap,Track T4939
T1543,A4,Hip-Hop,Track T1543
T1989,A3,Latin,Track T1989
T1090,A6,Rap,Track T1090
T6363,A1,Pop,Track T6363
T4151,A10,Pop,Track T4151
T7717,A2,Pop,Track T7717
T4145,A9,Alternative,Track T4145
T8890,A1,Pop,Track T8890
T9145,A2,Pop,Track T9145
T1757,A2,Pop,Track T1757
T6966,A10,Pop,Track T6966
T9551,A1,Pop,Track T9551
T8100,A6,Rap,Track T8100
T9114,A9,Alternative,Track T9114
T2817,A6,Rap,Track T2817
T3304,A3,Latin,Track T3304
T3460,A10,Pop,Track T3460
T9863,A9,Alternative,Track T9863
T9043,A4,Hip-Hop,Track T9043
T8395,A5,R&B,Track T8395
T2286,A10,Pop,Track T2286
T5412,A10,Pop,Track T5412
T1435,A4,Hip-Hop,Track T1435
T3032,A8,Pop,Track T3032
T7251,A3,Latin,Track T7251
T1935,A3,Latin,Track T1935
T6696,A2,Pop,Track T6696
T4440,A2,Pop,Track T4440
T8378,A6,Rap,Track T8378
T5415,A5,R&B,Track T5415
T2622,A2,Pop,Track T2622
T8280,A4,Hip-Hop,Track T8280
T2553,A4,Hip-Hop,Track T2553
T4960,A10,Pop,Track T4960
T1110,A9,Alternative,Track T1110
T3794,A4,Hip-Hop,Track T3794
T9195,A9,Alternative,Track T9195
T4821,A3,Latin,Track T4821
T7377,A6,Rap,Track T7377
T4387,A10,Pop,Track T4387
T8348,A4,Hip-Hop,Track T8348
T4606,A7,R&B,Track T4606
T2883,A3,Latin,Track T2883
T5195,A3,Latin,Track T5195
T1391,A5,R&B,Track T1391
T4623,A10,Pop,Track T4623
T4649,A4,Hip-Hop,Track T4649
T5171,A10,Pop,Track T5171
T8452,A9,Alternative,Track T8452
T1364,A2,Pop,Track T1364
T3498,A4,Hip-Hop,Track T3498
T5717,A6,Rap,Track T5717
T8508,A5,R&B,Track T8508
T8833,A1,Pop,Track T8833
T9154,A10,Pop,Track T9154
T7202,A7,R&B,Track T7202
T2884,A4,Hip-Hop,Track T2884
T9205,A6,Rap,Track T9205
T3770,A1,Pop,Track T3770
T3425,A5,R&B,Track T3425
T4986,A10,Pop,Track T4986
T7442,A9,Alternative,Track T7442
T1195,A3,Latin,Track T1195
T5183,A5,R&B,Track T5183
T6299,A7,R&B,Track T6299
T8757,A3,Latin,Track T8757
T2268,A1,Pop,Track T2268
T1726,A5,R&B,Track T1726
T7298,A6,Rap,Track T7298
T4595,A1,Pop,Track T4595
T3864,A1,Pop,Track T3864
T9715,A2,Pop,Track T9715
T2636,A3,Latin,Track T2636
T1308,A5,R&B,Track T1308
T8371,A3,Latin,Track T8371
T1688,A3,Latin,Track T1688
T4375,A9,Alternative,Track T4375
T1764,A2,Pop,Track T1764
T1344,A5,R&B,Track T1344
T4304,A10,Pop,Track T4304
T2283,A6,Rap,Track T2283
T4776,A7,R&B,Track T4776
T3371,A4,Hip-Hop,Track T3371
T2488,A1,Pop,Track T2488
T5104,A6,Rap,Track T5104
T5432,A6,Rap,Track T5432
T4730,A1,Pop,Track T4730
T9084,A4,Hip-Hop,Track T9084
T5574,A9,Alternative,Track T5574
T3395,A2,Pop,Track T3395
T3799,A4,Hip-Hop,Track T3799
T7755,A4,Hip-Hop,Track T7755
T4169,A8,Pop,Track T4169
T9697,A8,Pop,Track T9697
T5810,A7,R&B,Track T5810
T1442,A3,Latin,Track T1442
T1276,A1,Pop,Track T1276
T6322,A3,Latin,Track T6322
T9006,A7,R&B,Track T9006
T9678,A7,R&B,Track T9678
T4118,A10,Pop,Track T4118
T7115,A4,Hip-Hop,Track T7115
T4665,A6,Rap,Track T4665
T5253,A5,R&B,Track T5253
T8410,A2,Pop,Track T8410
T8633,A4,Hip-Hop,Track T8633
T8615,A5,R&B,Track T8615
T1490,A10,Pop,Track T1490
T2673,A3,Latin,Track T2673
T5839,A10,Pop,Track T5839
T5197,A5,R&B,Track T5197
T8186,A2,Pop,Track T8186
T2740,A2,Pop,Track T2740
T9307,A2,Pop,Track T9307
T4236,A4,Hip-Hop,Track T4236
T3712,A1,Pop,Track T3712
T5625,A4,Hip-Hop,Track T5625
T3033,A10,Pop,Track T3033
T2168,A6,Rap,Track T2168
T3574,A7,R&B,Track T3574
T9397,A1,Pop,Track T9397
T5896,A4,Hip-Hop,Track T5896
T6311,A3,Latin,Track T6311
T9226,A9,Alternative,Track T9226
T8758,A2,Pop,Track T8758
T5747,A4,Hip-Hop,Track T5747
T5532,A6,Rap,Track T5532
T1938,A5,R&B,Track T1938
T7532,A8,Pop,Track T7532
T4150,A2,Pop,Track T4150
T4244,A4,Hip-Hop,Track T4244
T3024,A8,Pop,Track T3024
T9147,A5,R&B,Track T9147
T3241,A4,Hip-Hop,Track T3241
T4737,A1,Pop,Track T4737
T1128,A7,R&B,Track T1128
T9452,A10,Pop,Track T9452
T7809,A6,Rap,Track T7809
T3988,A9,Alternative,Track T3988
T4415,A5,R&B,Track T4415
T9252,A2,Pop,Track T9252
T3893,A1,Pop,Track T3893
T9362,A6,Rap,Track T9362
T2756,A5,R&B,Track T2756
T4963,A8,Pop,Track T4963
T5544,A7,R&B,Track T5544
T2826,A10,Pop,Track T2826
T2294,A5,R&B,Track T2294
T2105,A4,Hip-Hop,Track T2105
T5131,A3,Latin,Track T5131
T6541,A5,R&B,Track T6541
T7931,A9,Alternative,Track T7931
T2001,A1,Pop,Track T2001
T9098,A10,Pop,Track T9098
T3890,A10,Pop,Track T3890
T3196,A6,Rap,Track T3196
T3447,A3,Latin,Track T3447
T6601,A2,Pop,Track T6601
T4599,A3,Latin,Track T4599
T2764,A1,Pop,Track T2764
T8331,A4,Hip-Hop,Track T8331
T8931,A1,Pop,Track T8931
T3278,A7,R&B,Track T3278
T7192,A3,Latin,Track T7192
T9305,A2,Pop,Track T9305
T7561,A5,R&B,Track T7561
T2402,A10,Pop,Track T2402
T5324,A7,R&B,Track T5324
T7906,A5,R&B,Track T7906
T4505,A8,Pop,Track T4505
T9107,A7,R&B,Track T9107
T7676,A9,Alternative,Track T7676
T3199,A2,Pop,Track T3199
T1651,A9,Alternative,Track T1651
T4631,A3,Latin,Track T4631
T5306,A10,Pop,Track T5306
T8011,A3,Latin,Track T8011
T5100,A9,Alternative,Track T5100
T1714,A10,Pop,Track T1714
T4891,A2,Pop,Track T4891
T7391,A10,Pop,Track T7391
T7987,A1,Pop,Track T7987
T7479,A2,Pop,Track T7479
T2614,A4,Hip-Hop,Track T2614
T2449,A10,Pop,Track T2449
T9818,A5,R&B,Track T9818
T6760,A5,R&B,Track T6760
T4188,A7,R&B,Track T4188
T2121,A10,Pop,Track T2121
T9993,A8,Pop,Track T9993
T9044,A2,Pop,Track T9044
T7262,A3,Latin,Track T7262
T7503,A1,Pop,Track T7503
T1222,A6,Rap,Track T1222
T2847,A2,Pop,Track T2847
T7970,A3,Latin,Track T7970
T2660,A9,Alternative,Track T2660
T4016,A3,Latin,Track T4016
T5587,A5,R&B,Track T5587
T9886,A4,Hip-Hop,Track T9886
T5677,A1,Pop,Track T5677
T2406,A3,Latin,Track T2406
T5628,A4,Hip-Hop,Track T5628
T2369,A9,Alternative,Track T2369
T2762,A3,Latin,Track T2762
T2942,A4,Hip-Hop,Track T2942
T6103,A8,Pop,Track T6103
T2560,A7,R&B,Track T2560
T3145,A8,Pop,Track T3145
T5488,A10,Pop,Track T5488
T7387,A8,Pop,Track T7387
T8840,A4,Hip-Hop,Track T8840
T3771,A8,Pop,Track T3771
T3865,A5,R&B,Track T3865
T5752,A3,Latin,Track T5752
T7073,A3,Latin,Track T7073
T5751,A2,Pop,Track T5751
T8052,A2,Pop,Track T8052
T6477,A2,Pop,Track T6477
T4213,A1,Pop,Track T4213
T2264,A9,Alternative,Track T2264
T3849,A10,Pop,Track T3849
T9399,A6,Rap,Track T9399
T3215,A8,Pop,Track T3215
T7295,A2,Pop,Track T7295
T1366,A9,Alternative,Track T1366
T2217,A5,R&B,Track T2217
T7042,A1,Pop,Track T7042
T4329,A2,Pop,Track T4329
T8007,A3,Latin,Track T8007
T9793,A1,Pop,Track T9793
T5389,A3,Latin,Track T5389
T9651,A1,Pop,Track T9651
T1478,A2,Pop,Track T1478
T4213,A3,Latin,Track T4213
T3793,A10,Pop,Track T3793
T3205,A2,Pop,Track T3205
T4000,A2,Pop,Track T4000
T4605,A7,R&B,Track T4605
T2340,A9,Alternative,Track T2340
