stream_id,played_at,track_id,artist_id,artist_name,genre,platform,country,track_duration_ms,ms_played,skipped,date
S1,2025-06-26 19:56:07,T6607,A1,Taylor Swift,Pop,Desktop,US,222460,199399,0,2025-06-26
S2,2026-01-16 19:04:29,T7972,A2,Billie Eilish,Pop,Mobile,US,251846,207727,0,2026-01-16
S3,2025-11-01 09:50:07,T8316,A7,SZA,R&B,Mobile,ES,171613,113471,0,2025-11-01
S4,2025-09-11 19:48:18,T3742,A6,Kendrick Lamar,Rap,Desktop,MX,127985,94510,0,2025-09-11
S5,2025-04-07 23:43:58,T3308,A5,The Weeknd,R&B,Mobile,GB,259379,225228,0,2025-04-07
S6,2025-04-07 23:54:29,T6784,A2,Billie Eilish,Pop,Mobile,US,150119,100832,0,2025-04-07
S7,2025-03-01 21:14:35,T5975,A3,Bad Bunny,Latin,Mobile,US,176808,150423,0,2025-03-01
S8,2025-12-17 22:54:43,T6323,A10,Olivia Rodrigo,Pop,Mobile,US,203269,173348,0,2025-12-17
S9,2025-09-12 19:26:12,T8519,A2,Billie Eilish,Pop,Mobile,US,180587,84831,0,2025-09-12
S10,2025-10-23 07:13:36,T6790,A9,"Tyler, The Creator",Alternative,Mobile,GB,139231,103610,0,2025-10-23
S11,2025-02-14 15:53:47,T3364,A5,The Weeknd,R&B,Mobile,US,226318,170580,0,2025-02-14
S12,2026-01-24 18:29:38,T1417,A1,Taylor Swift,Pop,Desktop,US,150028,126632,0,2026-01-24
S13,2025-12-07 19:46:12,T1157,A4,Drake,Hip-Hop,Mobile,US,224265,217571,0,2025-12-07
S14,2025-04-29 11:57:15,T6365,A10,Olivia Rodrigo,Pop,Mobile,US,151143,20996,1,2025-04-29
S15,2025-04-17 20:43:06,T1593,A4,Drake,Hip-Hop,Desktop,US,143975,111368,0,2025-04-17
S16,2025-04-18 11:47:54,T8882,A9,"Tyler, The Creator",Alternative,Mobile,ES,178983,120342,0,2025-04-18
S17,2025-06-02 22:54:26,T5561,A3,Bad Bunny,Latin,Mobile,BD,178311,148733,0,2025-06-02
S18,2025-08-16 17:44:54,T9640,A5,The Weeknd,R&B,Mobile,US,175088,47522,1,2025-08-16
S19,2025-07-16 06:34:14,T9097,A8,Post Malone,Pop,Mobile,US,214650,158387,0,2025-07-16
S20,2025-05-29 08:27:34,T1705,A9,"Tyler, The Creator",Alternative,Mobile,MX,209125,147749,0,2025-05-29
S21,2025-09-16 19:06:49,T5484,A5,The Weeknd,R&B,Desktop,US,196559,121046,0,2025-09-16
S22,2025-04-01 19:45:49,T9326,A6,Kendrick Lamar,Rap,Mobile,MX,194747,99292,0,2025-04-01
S23,2025-05-29 18:50:45,T7485,A1,Taylor Swift,Pop,TV,CA,187542,182142,0,2025-05-29
S24,2025-06-23 23:19:31,T6596,A2,Billie Eilish,Pop,Mobile,US,228058,172932,0,2025-06-23
S25,2025-07-24 10:37:39,T7574,A3,Bad Bunny,Latin,Mobile,MX,154971,133254,0,2025-07-24
S26,2025-11-21 14:31:25,T2243,A1,Taylor Swift,Pop,Desktop,MX,184705,167567,0,2025-11-21
S27,2025-04-24 16:57:38,T8031,A3,Bad Bunny,Latin,Desktop,BD,243692,139573,0,2025-04-24
S28,2025-08-13 00:19:17,T6107,A3,Bad Bunny,Latin,Mobile,US,217440,44197,1,2025-08-13
S29,2025-09-09 12:49:14,T8168,A10,Olivia Rodrigo,Pop,Mobile,GB,175935,40282,1,2025-09-09
S30,2025-02-25 06:51:21,T1093,A6,Kendrick Lamar,Rap,Desktop,US,181105,130955,0,2025-02-25
S31,2025-09-15 05:50:21,T1050,A4,Drake,Hip-Hop,Mobile,MX,228205,183826,0,2025-09-15
S32,2025-04-13 15:52:20,T8943,A10,Olivia Rodrigo,Pop,Mobile,ES,223970,167044,0,2025-04-13
S33,2025-03-04 15:01:39,T3093,A2,Billie Eilish,Pop,Desktop,US,143790,140287,0,2025-03-04
S34,2026-01-15 22:52:42,T1227,A4,Drake,Hip-Hop,Mobile,US,165241,110606,0,2026-01-15
S35,2026-01-22 21:17:22,T1899,A6,Kendrick Lamar,Rap,Desktop,US,138892,82794,0,2026-01-22
S36,2025-11-30 08:12:40,T9279,A1,Taylor Swift,Pop,Desktop,US,131524,108445,0,2025-11-30
S37,2025-06-03 03:08:48,T1328,A7,SZA,R&B,Mobile,US,122593,122092,0,2025-06-03
S38,2025-03-16 21:06:40,T6856,A1,Taylor Swift,Pop,Mobile,BD,236160,150682,0,2025-03-16
S39,2025-10-14 07:53:00,T1572,A2,Billie Eilish,Pop,Mobile,US,175602,135153,0,2025-10-14
S40,2025-07-18 22:01:03,T6852,A2,Billie Eilish,Pop,Mobile,US,252297,70616,0,2025-07-18
S41,2025-03-26 05:13:31,T9248,A9,"Tyler, The Creator",Alternative,Mobile,ES,198716,122429,0,2025-03-26
S42,2025-08-06 17:35:01,T3686,A7,SZA,R&B,Mobile,US,182060,95897,0,2025-08-06
S43,2025-02-20 07:39:49,T8231,A6,Kendrick Lamar,Rap,Mobile,BD,220508,213002,0,2025-02-20
S44,2025-12-30 23:50:13,T4171,A5,The Weeknd,R&B,Mobile,US,238014,133277,0,2025-12-30
S45,2025-05-16 22:19:24,T7505,A3,Bad Bunny,Latin,Desktop,US,256020,38417,1,2025-05-16
S46,2025-10-05 23:41:48,T7190,A6,Kendrick Lamar,Rap,Mobile,GB,140186,116044,0,2025-10-05
